condition,condition_label,material,burst_kHz,volume_ml,is_reactor_volume,reactor_volume_ml,concentration_mM,equivalents_per_ion,negative_charge_equivalent_rate_per_s,negative_charge_equivalent_rate_ci_low_per_s,negative_charge_equivalent_rate_ci_high_per_s,minutes_per_ion_equivalent,minutes_per_ion_equivalent_ci_low,minutes_per_ion_equivalent_ci_high,interpretation,source_rate_reportable,source_rate_evidence_tier,assumptions
BMIM_nitrate_4kHz,"BMIM nitrate, 4 kHz",BMIM_nitrate,4.0,0.0,False,2.5,5.0,1.0,2.577141363335664e+16,2.5183415128336444e+16,2.5886991360766576e+16,0.0,0.0,0.0,hypothetical electrical-rate transfer to a 5 mM metal-ion inventory; BMIM nitrate itself contains no metal,True,exploratory_transferred_model,total_negative_electrical_charge_equivalents; 100_percent_delivery_and_utilization; not_electron_specific; not_a_chemical_yield_prediction
BMIM_nitrate_4kHz,"BMIM nitrate, 4 kHz",BMIM_nitrate,4.0,0.05,False,2.5,5.0,1.0,2.577141363335664e+16,2.5183415128336444e+16,2.5886991360766576e+16,0.09736467515382656,0.09692997079875265,0.09963800794608194,hypothetical electrical-rate transfer to a 5 mM metal-ion inventory; BMIM nitrate itself contains no metal,True,exploratory_transferred_model,total_negative_electrical_charge_equivalents; 100_percent_delivery_and_utilization; not_electron_specific; not_a_chemical_yield_prediction
BMIM_nitrate_4kHz,"BMIM nitrate, 4 kHz",BMIM_nitrate,4.0,0.1,False,2.5,5.0,1.0,2.577141363335664e+16,2.5183415128336444e+16,2.5886991360766576e+16,0.19472935030765312,0.1938599415975053,0.19927601589216387,hypothetical electrical-rate transfer to a 5 mM metal-ion inventory; BMIM nitrate itself contains no metal,True,exploratory_transferred_model,total_negative_electrical_charge_equivalents; 100_percent_delivery_and_utilization; not_electron_specific; not_a_chemical_yield_prediction
BMIM_nitrate_4kHz,"BMIM nitrate, 4 kHz",BMIM_nitrate,4.0,0.15000000000000002,False,2.5,5.0,1.0,2.577141363335664e+16,2.5183415128336444e+16,2.5886991360766576e+16,0.2920940254614797,0.290789912396258,0.29891402383824583,hypothetical electrical-rate transfer to a 5 mM metal-ion inventory; BMIM nitrate itself contains no metal,True,exploratory_transferred_model,total_negative_electrical_charge_equivalents; 100_percent_delivery_and_utilization; not_electron_specific; not_a_chemical_yield_prediction
BMIM_nitrate_4kHz,"BMIM nitrate, 4 kHz",BMIM_nitrate,4.0,0.2,False,2.5,5.0,1.0,2.577141363335664e+16,2.5183415128336444e+16,2.5886991360766576e+16,0.38945870061530624,0.3877198831950106,0.39855203178432774,hypothetical electrical-rate transfer to a 5 mM metal-ion inventory; BMIM nitrate itself contains no metal,True,exploratory_transferred_model,total_negative_electrical_charge_equivalents; 100_percent_delivery_and_utilization; not_electron_specific; not_a_chemical_yield_prediction
BMIM_nitrate_4kHz,"BMIM nitrate, 4 kHz",BMIM_nitrate,4.0,0.25,False,2.5,5.0,1.0,2.577141363335664e+16,2.5183415128336444e+16,2.5886991360766576e+16,0.4868233757691328,0.48464985399376326,0.49819003973040965,hypothetical electrical-rate transfer to a 5 mM metal-ion inventory; BMIM nitrate itself contains no metal,True,exploratory_transferred_model,total_negative_electrical_charge_equivalents; 100_percent_delivery_and_utilization; not_electron_specific; not_a_chemical_yield_prediction
BMIM_nitrate_4kHz,"BMIM nitrate, 4 kHz",BMIM_nitrate,4.0,0.30000000000000004,False,2.5,5.0,1.0,2.577141363335664e+16,2.5183415128336444e+16,2.5886991360766576e+16,0.5841880509229594,0.581579824792516,0.5978280476764917,hypothetical electrical-rate transfer to a 5 mM metal-ion inventory; BMIM nitrate itself contains no metal,True,exploratory_transferred_model,total_negative_electrical_charge_equivalents; 100_percent_delivery_and_utilization; not_electron_specific; not_a_chemical_yield_prediction
BMIM_nitrate_4kHz,"BMIM nitrate, 4 kHz",BMIM_nitrate,4.0,0.35000000000000003,False,2.5,5.0,1.0,2.577141363335664e+16,2.5183415128336444e+16,2.5886991360766576e+16,0.681552726076786,0.6785097955912686,0.6974660556225736,hypothetical electrical-rate transfer to a 5 mM metal-ion inventory; BMIM nitrate itself contains no metal,True,exploratory_transferred_model,total_negative_electrical_charge_equivalents; 100_percent_delivery_and_utilization; not_electron_specific; not_a_chemical_yield_prediction
BMIM_nitrate_4kHz,"BMIM nitrate, 4 kHz",BMIM_nitrate,4.0,0.4,False,2.5,5.0,1.0,2.577141363335664e+16,2.5183415128336444e+16,2.5886991360766576e+16,0.7789174012306125,0.7754397663900212,0.7971040635686555,hypothetical electrical-rate transfer to a 5 mM metal-ion inventory; BMIM nitrate itself contains no metal,True,exploratory_transferred_model,total_negative_electrical_charge_equivalents; 100_percent_delivery_and_utilization; not_electron_specific; not_a_chemical_yield_prediction
BMIM_nitrate_4kHz,"BMIM nitrate, 4 kHz",BMIM_nitrate,4.0,0.45,False,2.5,5.0,1.0,2.577141363335664e+16,2.5183415128336444e+16,2.5886991360766576e+16,0.8762820763844391,0.872369737188774,0.8967420715147374,hypothetical electrical-rate transfer to a 5 mM metal-ion inventory; BMIM nitrate itself contains no metal,True,exploratory_transferred_model,total_negative_electrical_charge_equivalents; 100_percent_delivery_and_utilization; not_electron_specific; not_a_chemical_yield_prediction
